satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,t_tm
C01,2025-03-23 14:00:00,264.0,9.592899582773e-09,-2.687969358084,8.547678589821e-06,0.0005595315014943,-6.1029568314549995e-06,6493.390436172,50400.0,-3.492459654808e-08,0.2801999704249,1.7601996660229998e-07,0.07112179587970001,185.9375,2.321943490564,-8.447137571472e-09,-3.2144196077649998e-12,50400.0
C01,2025-03-23 15:00:00,93.234375,1.108439028078e-08,-2.42409909076,2.8400681912899996e-06,0.0005589926149696,-1.0489486157890001e-05,6493.3926639559995,54000.0,-5.3085386753080006e-08,0.6066394956214001,2.649612724781e-07,0.06604160365216,317.109375,1.994389891807,-9.923984802372002e-09,-2.1465179825180003e-10,54000.0
C01,2025-03-23 16:00:00,-183.28125,1.029828610781e-08,-2.151567709111,-6.069429218769e-06,0.0005561995785683,-1.1213589459660002e-05,6493.407655716,57600.0,8.568167686462001e-08,0.9596616628117,2.2910535335539999e-07,0.06270868713138,349.046875,1.631630262464,-9.250742473413001e-09,-4.3108938517470004e-10,57600.0
C01,2025-03-23 17:00:00,-403.84374999999994,7.371378476073e-09,-1.882707783708,-1.3071577996020002e-05,0.0005554875824600001,-4.8265792429449995e-06,6493.41627121,61200.0,1.6810372471809999e-07,1.328783163004,3.166496753693e-08,0.061646485720720005,154.921875,1.256458592452,-6.377051344071001e-09,-6.039537285256e-10,61200.0
C01,2025-03-23 18:00:00,-405.578125,3.0108396992730003e-09,-1.619819431387,-1.3025943189860002e-05,0.0005554811796173,5.201902240515e-06,6493.41673851,64800.00000000001,7.729977369308e-08,1.696629175644,-2.0023435354229998e-07,0.06304190037105001,-156.375,0.8885308246353001,-2.008297939385e-09,-6.875286383275001e-10,64800.00000000001
C01,2025-03-23 19:00:00,-176.296875,-1.0468293189290001e-09,-1.362571151986,-5.6256540119649996e-06,0.000554479775019,1.256866380572e-05,6493.409301758,68400.0,-1.234002411366e-07,2.046425762076,-2.4680048227309995e-07,0.06665199012864,-387.109375,0.5442708637976,2.114373786441e-09,-6.771710640358001e-10,68400.0
C01,2025-03-23 20:00:00,136.71875,-3.835874065266e-09,-1.106269396675,4.405621439219e-06,0.0005522558931261001,1.3490673154590002e-05,6493.399467468,72000.0,-2.4214386939999996e-07,2.36889826891,-8.800998330116e-08,0.07192329065946,-417.04687500000006,0.22824301580920003,4.9852076539090005e-09,-5.982392047784e-10,72000.0
C01,2025-03-23 21:00:00,367.078125,-5.472370803352e-09,-0.8462875787717,1.180777326226e-05,0.000550830620341,8.738599717617e-06,6493.3947029109995,75600.0,-2.1327286958689998e-07,2.66286112978,1.080334186554e-07,0.07820371061845,-269.28125,-0.06300857217137,6.665277635567e-09,-4.685909472653e-10,75600.0
C01,2025-03-23 22:00:00,434.015625,-6.342407043854001e-09,-0.5824749635859,1.4069490134720001e-05,0.0005524682346731,1.430045813322e-06,6493.399045944,79200.0,-1.0011717677119999e-07,2.931791281103,2.067536115646e-07,0.08489185901239,-42.046875,-0.3331240323874,7.506384099599e-09,-3.0251260086410003e-10,79200.0
C01,2025-03-23 23:00:00,363.453125,-6.60170355888e-09,-0.3187889069061,1.19348987937e-05,0.0005559179699048001,-5.484092980623e-06,6493.407529831,82800.0,2.887099981308e-08,-3.102575241569,1.923181116581e-07,0.09149179783490001,171.21875,-0.5830764335767,7.704249484344001e-09,-1.225051028293e-10,82800.0
C02,2025-03-23 00:00:00,-103.28124999999999,-3.776228723655e-09,-2.055501187966,-3.3071264624599996e-06,0.001046958612278,-9.961426258086999e-06,6493.393287659,0.0,1.224689185619e-07,-2.629817562754,-2.11875885725e-07,0.1138915093871,309.46875,-0.1285532108487,4.964492505326e-09,3.810873023872e-10,0.0
C02,2025-03-23 01:00:00,-198.046875,-2.664753854837e-09,-1.792523786359,-6.384216248989e-06,0.001046928111464,-8.143950253725e-06,6493.394483566,3600.0,8.987262845039e-08,-2.458219267477,-2.1327286958689998e-07,0.1241881032187,252.17187499999997,-0.3008283646746,3.83873132714e-09,5.0644966709e-10,3600.0
C02,2025-03-23 02:00:00,-251.546875,-1.7550731058400002e-09,-1.527361428826,-8.172821253538e-06,0.0010473618749530002,-4.871748387813999e-06,6493.401254654,7200.0,1.536682248116e-08,-2.292382186439,-1.899898052216e-07,0.1325222143907,148.59375,-0.4696789940496,2.8722624984050003e-09,5.996678357152e-10,7200.0
C02,2025-03-23 03:00:00,-273.578125,-9.368247367963e-10,-1.262633911988,-8.953269571066e-06,0.0010483476798980001,-1.273583620787e-06,6493.407320023,10800.0,-6.845220923424e-08,-2.130249114501,-1.5832483768459998e-07,0.1387177675461,35.453125,-0.6345183591051,1.9997261537640003e-09,6.603846505286e-10,10800.0
C02,2025-03-23 04:00:00,-269.453125,-1.282196265764e-10,-1.000153198864,-8.875038474798e-06,0.001048218924552,1.555774360895e-06,6493.407035828,14400.0,-1.369044184685e-07,-1.970372464962,-1.173466444016e-07,0.1426482466035,-51.609375,-0.7949481525985,1.180763469252e-09,6.92171688872e-10,14400.0
C02,2025-03-23 05:00:00,-238.5625,7.000291590243e-10,-0.7391598828275,-7.91484490037e-06,0.001045873039402,3.297813236713e-06,6493.400169373001,18000.0,-1.746229827404e-07,-1.811629312147,-1.02911144495e-07,0.144234879276,-103.046875,-0.9528091716636,3.875161416028e-10,6.853856919223001e-10,18000.0
C02,2025-03-23 06:00:00,-184.984375,1.540421307588e-09,-0.47798344309470003,-6.199348717928e-06,0.001042051240802,4.2798928916449995e-06,6493.390319824,21600.0,-1.8067657947539997e-07,-1.653048152639,-1.0011717677119999e-07,0.1434459860725,-129.734375,-1.110698041763,-3.9573076948930004e-10,6.485984453001e-10,21600.0
C02,2025-03-23 07:00:00,-122.34375,2.3697415663910005e-09,-0.21572814662890002,-4.159286618233e-06,0.0010391429532320001,5.1325187087059995e-06,6493.383241653,25200.0,-1.615844666958e-07,-1.493678353013,-6.938353180885e-08,0.1402970007789,-152.609375,-1.270415641385,-1.184335046594e-09,6.000249934494e-10,25200.0
