satelite_id,Datetime,a0,a1,a2,IODEC,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,IRN Week,Spare2,User Range accurracy,Health,TGD,Spare3,t_tm
I02,2025-03-23 00:00:00,0.0006443117745220999,1.125499693444e-11,0.0,0.0,22.0,3.944450016462e-09,2.98596732445,9.201467037201e-07,0.002125281840563,7.111579179764e-06,6493.32399559,0.0,6.332993507385e-08,1.17615127293,-1.639127731323e-07,0.5039511635659001,-138.1875,3.082765605996,-3.5015744260580005e-09,-6.868143228591001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,12.0
I02,2025-03-23 00:05:36,0.0006443164311349,1.1368683772159999e-11,0.0,161.0,23.1875,3.945878647398e-09,3.010470611259,9.573996067047e-07,0.002125426428393,7.200986146926999e-06,6493.323791504,336.0,6.705522537231e-08,1.176150096744,-1.676380634308e-07,0.5039509280361,-141.1875,3.082765920523,-3.4987171641850002e-09,-6.864571651249e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,636.0
I02,2025-03-23 00:20:48,0.0006443280726671001,1.2278178473929998e-11,0.0,162.0,25.4375,3.945878647398e-09,3.07700769795,1.024454832077e-06,0.0021261636866260003,7.450580596924e-06,6493.322057724,1248.0,8.195638656615999e-08,1.176146892953,-1.7136335372919998e-07,0.5039503677385001,-149.25,3.082738730728,-3.4858594857540002e-09,-6.853856919223001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,1500.0
I02,2025-03-23 00:36:00,0.0006443369202316,1.045918907039e-11,0.0,163.0,26.25,3.945878647398e-09,-3.1396691694,1.050531864166e-06,0.002126850304194,7.685273885727e-06,6493.320392609,2160.0,9.685754776001e-08,1.176143703792,-1.7508864402769998e-07,0.5039498162184,-156.6875,3.082740219978,-3.471573176386e-09,-6.850285341881e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,2316.0
I02,2025-03-23 00:50:24,0.0006443443708122001,9.322320693172999e-12,0.0,164.0,25.9375,3.941592754588e-09,-3.076669314758,1.0393559932709998e-06,0.0021274259779600004,7.87153840065e-06,6493.318954468,3024.0,1.1548399925229999e-07,1.17614071505,-1.7508864402769998e-07,0.5039492720128,-162.5625,3.082749847442,-3.4587154979550003e-09,-6.853856919223001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,3228.0
I02,2025-03-23 01:05:36,0.0006443541496992001,8.867573342286e-12,0.0,165.0,24.75,3.935878230841e-09,-3.010182627058,1.005828380585e-06,0.0021284058457240003,8.020550012588999e-06,6493.3161544800005,3936.0,1.303851604462e-07,1.176137590257,-1.7136335372919998e-07,0.5039487175669,-167.0625,3.082773295093,-3.4472864504610003e-09,-6.857428496565e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,4140.0
I02,2025-03-23 01:20:48,0.000644366722554,1.2278178473929998e-11,0.0,166.0,23.5625,3.925877814283e-09,-2.943727610071,9.685754776001e-07,0.0021280195796860002,8.11368227005e-06,6493.317575455,4848.0,1.4528632163999998e-07,1.176134484482,-1.639127731323e-07,0.5039481938422,-169.5625,3.082828015544,-3.433000141093e-09,-6.868143228591001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,5052.0
I02,2025-03-23 01:36:00,0.0006443778984249,1.1823431123050001e-11,0.0,167.0,22.9375,3.913020135852e-09,-2.877230453729,9.387731552124e-07,0.002128071151674,8.147209882736e-06,6493.317436218,5760.0,1.564621925354e-07,1.176131353837,-1.527369022369e-07,0.5039475560099,-170.0,3.08284088776,-3.4201424626620003e-09,-6.882429537959001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,5964.0
I02,2025-03-23 01:50:24,0.0006443872116506001,1.0913936421279999e-11,0.0,168.0,23.1875,3.897305195548e-09,-2.814218391035,9.350478649138999e-07,0.002127987332642,8.136034011841e-06,6493.317605972,6624.0,1.676380634308e-07,1.176128461648,-1.415610313416e-07,0.5039471098199,-168.8125,3.08283823549,-3.4087134151670002e-09,-6.896715847326e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,6828.0
I02,2025-03-23 02:05:36,0.0006443983875215,1.1709744285329999e-11,0.0,169.0,24.8125,3.880161624306e-09,-2.747664141389,9.685754776001e-07,0.002127734711394,8.083879947662e-06,6493.318271637,7536.0,1.7508864402769998e-07,1.176125410001,-1.303851604462e-07,0.503946536356,-166.375,3.08279393833,-3.3972843676730002e-09,-6.918145311378e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,7740.0
I02,2025-03-23 02:20:48,0.0006444081664085,1.114131009672e-11,0.0,170.0,27.875,3.858732160254e-09,-2.681068546752,1.0393559932709998e-06,0.002127394662239,8.013099431991999e-06,6493.319169998,8448.0,1.825392246246e-07,1.176122304226,-1.1548399925229999e-07,0.503945859025,-163.375,3.082708357623,-3.385855320179e-09,-6.93957477543e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,8652.0
I02,2025-03-23 02:36:00,0.0006444184109569,1.125499693444e-11,0.0,171.0,32.125,3.83873132714e-09,-2.614481390227,1.1436641216279999e-06,0.002127008046955,7.938593626022e-06,6493.320152283,9360.0,1.825392246246e-07,1.176119335965,-1.0058283805849999e-07,0.5039453440778,-160.3125,3.08263092098,-3.3758549036210005e-09,-6.964575816824e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,9564.0
I02,2025-03-23 02:50:24,0.0006444277241826,1.045918907039e-11,0.0,172.0,37.0625,3.817301863088e-09,-2.551317921364,1.266598701477e-06,0.002126738312654,7.875263690947998e-06,6493.320997238,10224.0,1.862645149231e-07,1.176116505219,-8.940696716309e-08,0.5039448101127001,-157.9375,3.08247697811,-3.365854487064e-09,-6.989576858217001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,10476.0
I02,2025-03-23 03:05:36,0.0006444384343921999,1.0913936421279999e-11,0.0,173.0,42.5,3.797301029973e-09,-2.484646173063,1.4118850231169998e-06,0.002126192674041,7.826834917068e-06,6493.322702408001,11136.0,1.825392246246e-07,1.176113589623,-7.450580596924e-08,0.5039442293342,-156.125,3.082314825345,-3.3558540705060003e-09,-7.021721054295e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,11339.999999999998
I02,2025-03-23 03:20:48,0.0006444482132792,1.0686562745829999e-11,0.0,174.0,47.875,3.7787288277950006e-09,-2.417978967124,1.553446054459e-06,0.002125846222043,7.800757884979e-06,6493.323839188,12048.000000000002,1.788139343262e-07,1.176110612585,-5.960464477539e-08,0.5039436353895,-155.3125,3.082157342213,-3.3472822848860002e-09,-7.053865250373e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,12252.0
I02,2025-03-23 03:36:00,0.000644457526505,9.777068044059e-12,0.0,175.0,52.625,3.761585256553e-09,-2.35137088063,1.683831214905e-06,0.002125692903064,7.800757884979e-06,6493.324321747,12960.0,1.7136335372919998e-07,1.176107558012,-4.842877388e-08,0.5039429800022001,-155.3125,3.082059034118,-3.338710499265e-09,-7.08600944645e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,13164.0
